time,ax,ay,az,gx,gy,gz
214545,-5.5,5.44,2.71,143.63,367.34,425.34
214557,-6.5,3.41,2.5,21.32,201.24,338.88
214569,-6.73,1.42,2.54,-30.94,-6.2,261.87
214581,-5.59,-0.17,2.34,-59.11,-174.31,191.68
214748,2.74,2.94,-1.13,-320.7,-206.5,-51.37
214760,2.25,2.42,-1.2,-362.16,-110.28,-20.94
214772,1.52,1.94,-1.18,-374.42,-49.79,-13.87
214784,0.89,1.66,-1.1,-369.6,-23.88,-20.76
214808,0.39,1.41,-1.03,-325.82,-111.13,-31.55
214820,0.31,1.4,-1.15,-302.04,-182.66,-22.28
214832,0.37,1.4,-1.21,-268.68,-232.6,-3.5
214844,0.47,1.43,-1.34,-255.33,-228.88,21.2
214856,0.44,1.35,-1.35,-257.59,-190.89,51.44
214868,0.38,1.2,-1.22,-250.51,-144.31,69.18
214880,0.25,1.06,-1.03,-240.82,-96.07,68.21
214892,0.04,0.93,-0.85,-227.22,-57.9,54.18
214904,-0.06,0.81,-0.67,-204.97,-37.72,43.82
214916,-0.07,0.69,-0.62,-184.05,-25.34,31.01
214928,-0.2,0.7,-0.68,-173.56,-11.74,15.34
214940,-0.36,1.15,-0.77,-156.31,2.77,-18.07
214952,-0.43,2.09,-0.87,-161.98,23.38,-59.84
214976,-0.24,2.72,-1.1,-177.95,78.44,-117.89
214988,-0.2,2.52,-0.94,-163.99,90.69,-141.18
215000,-0.27,2.63,-0.87,-145.27,77.46,-160.15
215012,-0.42,2.78,-0.92,-118.38,58.93,-169.9
215024,-0.47,2.68,-0.99,-96.43,28.32,-159.9
215190,0.8,0.43,0.29,16.01,12.71,-191.12
215202,0.92,0.35,0.64,27.72,61.18,-169.66
215214,1.01,0.25,0.89,28.51,118.38,-181.61
215226,0.93,0.32,0.89,23.27,172.89,-190.51
215250,0.37,0.45,0.54,-35.03,216.24,-169.17
215262,0.14,0.33,0.45,-62.04,182.71,-163.62
215274,-0.09,0.19,0.47,-69.72,110.82,-151.18
215286,-0.34,0.11,0.65,-66.18,6.3,-140.45
215298,-0.43,0.22,0.76,-56.73,-124.79,-126.49
215310,-0.25,0.35,0.66,-49.36,-244.0,-96.79
215322,0.0,0.47,0.5,-55.27,-326.07,-63.07
215334,0.2,0.56,0.25,-73.75,-375.4,-33.44
215346,0.31,0.53,0.03,-97.77,-400.77,-5.21
215358,0.4,0.46,-0.13,-113.32,-405.89,19.24
215370,0.4,0.5,-0.22,-117.77,-399.0,40.22
215382,0.35,0.57,-0.23,-117.4,-389.06,60.16
215394,0.35,0.68,-0.31,-124.72,-367.42,71.26
215406,0.34,0.72,-0.34,-128.87,-337.17,76.32
215418,0.17,0.79,-0.35,-122.77,-315.34,73.02
215430,-0.07,1.0,-0.4,-98.2,-315.71,61.62
215442,-0.2,1.26,-0.53,-74.17,-334.43,48.82
215454,-0.13,1.1,-0.66,-53.93,-350.53,29.37
